date,mp_price_x,mp_price_y
2007-01-01,24974.0693,16825.1196
2007-02-01,22593.0,13373.0
2007-03-01,22807.0,15360.0
2007-04-01,18414.0,13347.0
2007-05-01,14910.0,10784.0
2007-06-01,18596.0,10284.0
2007-07-01,18965.0,10662.0
2007-08-01,18093.0,11611.0
2007-09-01,18916.0,12659.0
2007-10-01,19647.0,14967.0
2007-11-01,18565.0,16578.0
2007-12-01,18875.0,15866.0
2008-01-01,17158.0,14107.0
2008-02-01,23308.0,17346.0
2008-03-01,24709.0,21908.0
2008-04-01,23318.0,23441.0
2008-05-01,22590.0,19295.0
2008-06-01,22657.0,18293.0
2008-07-01,24598.0,25781.0
2008-08-01,23832.0,25018.0
2008-09-01,18828.0,18183.0
2008-10-01,17403.0,15910.0
2008-11-01,18968.0,14964.0
2008-12-01,25576.0,16572.0
2009-01-01,23790.0,16668.0
2009-02-01,20972.0,21665.0
2009-03-01,18718.0,23981.0
2009-04-01,16380.0,17521.0
2009-05-01,15657.9646,15274.4014
2009-06-01,14808.2176,17652.3914
2009-07-01,15623.1754,16337.0039
2009-08-01,16727.7339,14686.9665
2009-09-01,26437.0,17339.0
2009-10-01,35324.0,21447.0
2009-11-01,31474.0,21859.0
2009-12-01,23269.0,19745.0
2010-01-01,25793.0,18995.0
2010-02-01,26521.0,21155.0
2010-03-01,18994.0,18961.0
2010-04-01,21179.0,17055.0
2010-05-01,24063.0,17468.0
2010-06-01,35065.0,26253.0
2010-07-01,43736.0,35255.0
2010-08-01,35982.0,35607.0
2010-09-01,27911.0,29312.0
2010-10-01,23716.0,29938.0
2010-11-01,26600.0,28110.0
2010-12-01,37791.0,43269.0
2011-01-01,40175.0,54220.0
2011-02-01,35503.0,52989.0
2011-03-01,24674.0,42619.0
2011-04-01,19192.0,30371.0
2011-05-01,15779.0,21733.0
2011-06-01,13630.0,18838.0
2011-07-01,12774.0,16154.0
2011-08-01,14294.0,15377.0
2011-09-01,17146.0,16502.0
2011-10-01,20541.0,19498.0
2011-11-01,14672.0,21132.0
2011-12-01,15319.0,22885.0
2012-01-01,27556.0,21695.0
2012-02-01,19215.0,20326.0
2012-03-01,21547.0,25723.0
2012-04-01,20731.0,27092.0
2012-05-01,20275.0,19032.0
2012-06-01,26548.0,19962.0
2012-07-01,24243.0,21713.0
2012-08-01,22587.0,22619.0
2012-09-01,18885.0,21019.0
2012-10-01,19905.0,21665.0
2012-11-01,17377.0,19037.0
2012-12-01,17520.0,18708.0
2013-01-01,23377.0,25162.0
2013-02-01,25151.0,28838.0
2013-03-01,25521.0,34888.0
2013-04-01,25521.0,30157.0
2013-05-01,29744.0,25190.0
2013-06-01,34033.0,29807.0
2013-07-01,35422.0,46278.0
2013-08-01,36290.0,44843.0
2013-09-01,29384.0,34314.0
2013-10-01,39401.0,34918.0
2013-11-01,35583.0,26723.0
2013-12-01,35142.0,29008.0
2014-01-01,37989.0,35938.0
2014-02-01,33218.0,42202.0
2014-03-01,28411.0,49144.0
2014-04-01,22555.0,44338.0
2014-05-01,19210.0,26443.0
2014-06-01,18200.0,23212.0
2014-07-01,18715.0,23168.0
2014-08-01,18996.0,24878.0
2014-09-01,23948.0,24507.0
2014-10-01,33652.0,27803.0
2014-11-01,48785.0,46011.0
2014-12-01,61874.0,61843.0
2015-01-01,46573.0,52134.0
2015-02-01,28102.0,34539.0
2015-03-01,23738.0,30947.0
2015-04-01,22850.0,28202.0
2015-05-01,27927.0,29432.0
2015-06-01,30884.0,30698.0
2015-07-01,35319.0,39957.0
2015-08-01,36333.0,49551.0
2015-09-01,32344.0,43471.0
2015-10-01,23740.0,29282.0
2015-11-01,23028.0,28465.0
2015-12-01,32831.0,35157.0
2016-01-01,35412.0,35881.0
2016-02-01,37845.0,31557.0
2016-03-01,45554.0,41504.0
2016-04-01,33979.0,34498.0
2016-05-01,30445.0,30158.0
2016-06-01,30031.0,30339.0
2016-07-01,31160.0,34004.0
2016-08-01,32955.0,38805.0
2016-09-01,39151.0,35790.0
2016-10-01,47095.0,35704.0
2016-11-01,57079.0,46083.0
2016-12-01,51291.0,57479.0
2017-01-01,47172.0,78947.0
2017-02-01,44464.0,89763.0
2017-03-01,39551.0,79117.0
2017-04-01,34429.0,60335.0
2017-05-01,34973.0,52636.0
2017-06-01,31731.0,44893.0
2017-08-01,31008.0,37208.0
2017-09-01,31433.0,33472.0
2017-10-01,33190.0,31340.0
2017-11-01,36144.0,30870.0
2017-12-01,40199.0,36559.0
2018-01-01,43077.0,45498.0
2018-02-01,44287.0,47200.0
2018-03-01,48366.0,50178.0
2018-04-01,48632.0,46224.0
2018-05-01,44153.0,40538.0
2018-06-01,43190.0,43825.0
2018-07-01,40737.0,49272.0
2018-08-01,38154.0,45838.0
2018-09-01,34648.0,41002.0
2018-10-01,38647.0,42109.0
2018-11-01,38098.0,39747.0
2018-12-01,37096.0,40506.0
2019-01-01,35397.0,42118.0
2019-02-01,31252.0,37346.0
2019-03-01,31061.0,36405.0
2019-04-01,34900.0,36860.0
2019-05-01,41304.0,40048.0
2019-06-01,52687.0,43720.0
2019-07-01,64905.0,62887.0
2019-08-01,71960.0,79087.0
2019-09-01,61425.0,68481.0
2019-10-01,56695.0,62181.0
2019-11-01,51139.0,57536.0
2019-12-01,46547.0,51892.0
